¿Que es un CPU?,1,Procesador,Monitor,Router
¿Que mide el GHz en un procesador?,1,Velocidad,Capacidad,Voltaje
¿Que es la RAM?,1,Memoria,Almacenamiento,Procesador
¿Que significa SSD?,1,Unidad solida,Disco duro,Memoria externa
¿Que es un bit?,2,Unidad de datos,Unidad de memoria,Codigo binario
¿Cual es el sistema operativo basado en Linux?,2,Windows,Ubuntu,iOS
¿Que protocolo se utiliza para transferir archivos?,1,FTP,HTTP,SMTP
¿Que es una IP?,3,Puente,Protocolo,Direccion de red
¿Que significa GPU?,2,Procesador grafico,Unidad grafica,Tarjeta de memoria
¿Que es un firewall?,1,Proteccion,Servidor,Antivirus
¿Que tipo de memoria es volatil?,1,RAM,Disco duro,SSD
¿Que es un switch?,1,Dispositivo de red,Protocolo de red,Unidad de almacenamiento
¿Que es un compilador?,1,Traductor de codigo,Editor de texto,Sistema operativo
¿Que es un algoritmo?,1,Conjunto de instrucciones,Base de datos,Protocolo de red
¿Que tecnologia usa una pantalla tactil?,3,Resistencia,Electromagnetismo,Capacitancia
¿Que es un servidor DNS?,1,Traductor de nombres de dominio,Protocolo de red,Tipo de firewall
