¿Qué es un CPU?, 1, Procesador, Monitor, Router
¿Qué mide el GHz en un procesador?, 1, Velocidad, Capacidad, Voltaje
¿Qué es la RAM?, 1, Memoria, Almacenamiento, Procesador
¿Qué significa SSD?, 1, Unidad sólida, Disco duro, Memoria externa
¿Qué es un bit?, 2, Unidad de datos, Unidad de memoria, Código binario
¿Cuál es el sistema operativo basado en Linux?, 2, Windows, Ubuntu, iOS
¿Qué protocolo se utiliza para transferir archivos?, 1, FTP, HTTP, SMTP
¿Qué es una IP?, 3, Puente, Protocolo, Dirección de red
¿Qué significa GPU?, 2, Procesador gráfico, Unidad gráfica, Tarjeta de memoria
¿Qué es un firewall?, 1, Protección, Servidor, Antivirus
¿Qué tipo de memoria es volátil?, 1, RAM, Disco duro, SSD
¿Qué es un switch?, 1, Dispositivo de red, Protocolo de red, Unidad de almacenamiento
¿Qué es un compilador?, 1, Traductor de código, Editor de texto, Sistema operativo
¿Qué es un algoritmo?, 1, Conjunto de instrucciones, Base de datos, Protocolo de red
¿Qué tecnología usa una pantalla táctil?, 3, Resistencia, Electromagnetismo, Capacitancia
¿Qué es un servidor DNS?, 1, Traductor de nombres de dominio, Protocolo de red, Tipo de firewall
